Country,Happiness Score,Generosity
Afghanistan,3.575,0.3651
Albania,4.959,0.14272
Algeria,5.605,0.07822
Angola,4.033,0.12344
Argentina,6.574,0.11451
Armenia,4.35,0.07855
Australia,7.284,0.43562
Austria,7.2,0.33088
Azerbaijan,5.212,0.07799
Bahrain,5.96,0.17362
Bangladesh,4.694,0.21222
Belarus,5.813,0.11046
Belgium,6.937,0.2225
Benin,3.34,0.1826
Bhutan,5.253,0.47998
Bolivia,5.89,0.20536
Bosnia and Herzegovina,4.949,0.24808
Botswana,4.332,0.10461
Brazil,6.983,0.14574
Bulgaria,4.218,0.11921
Burkina Faso,3.587,0.21747
Burundi,2.905,0.19727
Cambodia,3.819,0.40359
Cameroon,4.252,0.20618
Canada,7.427,0.45811
Central African Republic,3.678,0.23835
Chad,3.667,0.18386
Chile,6.67,0.33363
China,5.14,0.08185
Colombia,6.477,0.18401
Comoros,3.956,0.17441
Congo (Brazzaville),3.989,0.12388
Congo (Kinshasa),4.517,0.24834
Costa Rica,7.226,0.25497
Croatia,5.759,0.05444
Cyprus,5.689,0.30638
Czech Republic,6.505,0.10686
Denmark,7.527,0.34139
Djibouti,4.369,0.18093
Dominican Republic,4.885,0.21684
Ecuador,5.975,0.11541
Egypt,4.194,0.11291
El Salvador,6.13,0.10692
Estonia,5.429,0.0868
Ethiopia,4.512,0.24325
Finland,7.406,0.23351
France,6.575,0.12332
Gabon,3.896,0.06822
Georgia,4.297,0.05547
Germany,6.75,0.28214
Ghana,4.633,0.23087
Greece,4.857,0
Guatemala,6.123,0.27489
Guinea,3.656,0.28657
Haiti,4.518,0.46187
Honduras,4.788,0.23027
Hong Kong,5.474,0.39478
Hungary,4.8,0.128
Iceland,7.561,0.4363
India,4.565,0.26475
Indonesia,5.399,0.51535
Iran,4.686,0.38086
Iraq,4.677,0.17922
Ireland,6.94,0.45901
Israel,7.278,0.33172
Italy,5.948,0.22823
Ivory Coast,3.655,0.20165
Jamaica,5.709,0.2123
Japan,5.987,0.10705
Jordan,5.192,0.11053
Kazakhstan,5.855,0.11827
Kenya,4.419,0.37542
Kosovo,5.589,0.2831
Kuwait,6.295,0.16228
Kyrgyzstan,5.286,0.3003
Laos,4.876,0.42192
Latvia,5.098,0.18226
Lebanon,4.839,0.21854
Lesotho,4.898,0.16388
Liberia,4.571,0.24362
Libya,5.754,0.18295
Lithuania,5.833,0.02641
Luxembourg,6.946,0.28034
Macedonia,5.007,0.22359
Madagascar,3.681,0.21333
Malawi,4.292,0.33128
Malaysia,5.77,0.33075
Mali,3.995,0.18798
Malta,6.302,0.51752
Mauritania,4.436,0.219
Mauritius,5.477,0.37744
Mexico,7.187,0.14074
Moldova,5.889,0.20951
Mongolia,4.874,0.3323
Montenegro,5.192,0.1614
Morocco,5.013,0.07172
Mozambique,4.971,0.22269
Myanmar,4.307,0.79588
Nepal,4.514,0.32296
Netherlands,7.378,0.4761
New Zealand,7.286,0.47501
Nicaragua,5.828,0.27815
Niger,3.845,0.19387
Nigeria,5.268,0.27233
North Cyprus,5.695,0.26169
Norway,7.522,0.34699
Oman,6.853,0.21542
Pakistan,5.194,0.33671
Palestinian Territories,4.715,0.11251
Panama,6.786,0.24434
Paraguay,5.878,0.3424
Peru,5.824,0.14982
Philippines,5.073,0.24991
Poland,5.791,0.16759
Portugal,5.102,0.13719
Qatar,6.611,0.32573
Romania,5.124,0.13748
Russia,5.716,0.00199
Rwanda,3.465,0.22628
Saudi Arabia,6.411,0.13706
Senegal,3.904,0.20843
Serbia,5.123,0.19231
Sierra Leone,4.507,0.21488
Singapore,6.798,0.31105
Slovakia,5.995,0.16893
Slovenia,5.848,0.25328
Somaliland region,5.057,0.50318
South Africa,4.642,0.11973
South Korea,5.984,0.18557
Spain,6.329,0.18227
Sri Lanka,4.271,0.40828
Sudan,4.55,0.19062
Suriname,6.269,0.16991
Swaziland,4.867,0.18259
Sweden,7.364,0.36262
Switzerland,7.587,0.29678
Syria,3.006,0.47179
Taiwan,6.298,0.25376
Tajikistan,4.786,0.22974
Tanzania,3.781,0.34377
Thailand,6.455,0.5763
Togo,2.839,0.16681
Trinidad and Tobago,6.168,0.31844
Tunisia,4.739,0.06431
Turkey,5.332,0.12253
Turkmenistan,5.548,0.16979
Uganda,3.931,0.29066
Ukraine,4.681,0.15275
United Arab Emirates,6.901,0.26428
United Kingdom,6.867,0.51912
United States,7.119,0.40105
Uruguay,6.485,0.2324
Uzbekistan,6.003,0.22837
Venezuela,6.81,0.05841
Vietnam,5.36,0.1686
Yemen,4.077,0.09131
Zambia,5.129,0.19591
Zimbabwe,4.61,0.18987